output_text,input_text,understandability,type_of_claim,type_of_medical_claim,support,harm,summary
Eating disorders are not based on rational thinking.,Eating disorders are not logical.,vague,statement of fact,symptom,disputed claim,harmless,not worth checking
People who use drugs often experience guilt and regret about their actions.,People who use drugs feel guilty about their actions.,vague,opinion,cause/effect,can't tell,can't tell,not worth checking
Experiencing domestic violence or abuse as a child can lead to the development of an eating disorder.,Witnessing intense domestic violence or domestic abuse as a child can be a reason for developing an eating disorder.,understandable,hedged claim,correlation,disputed claim,harmless,not worth checking
There is concern that mercury from amalgam fillings may be released into the body and contribute to various health issues.,"So, it's important to keep things simple.",vague,hedged claim,cause/effect,can't tell,can't tell,not worth checking
"Purdue began hosting free medical conferences for thousands of doctors across the country, focusing on OxyContin and encouraging its prescription.",purdue began hosting medical conventions for thousands of doctors across the country free of charge the primary topic of discussion was oxycontin and why doctors should prescribe this new wonder drug to their patients,understandable,hedged claim,not medical,uncontroversial statement,low harm,not worth checking
These lifestyle changes can improve overall health and potentially treat depression.,These changes can cure many other diseases and depression.,vague,hedged claim,treatment/cure,can't tell,can't tell,not worth checking
The updated guidelines aim to ensure that patients receive safe and compassionate pain management.,The new guidelines are designed to ensure that patients can get compassionate and safe pain care,understandable,statement of fact,treatment/cure,can't tell,harmless,not worth checking
The supplement Calming Thrive contains both GABA and lithiumine and comes in an easy-to-use liquid form.,"Hello, hello, hello, everyone.  Happy Friday. Um I am coming  off the back of the live  masterclass that we had earlier  in the week and it was epic. It  was like literally so amazing.  All of the attendees were so  engaged and the energy on on  the masterclass was was amazing  and so I thank you for all of  you who attended live. Uh I had  a complete tech technology blip  up and I didn't end up  recording it and I'm so  disappointed because it was  amazing. And so guys just so  you know if you weren't able to  attend live I am going to be  holding an encore. I'm just  trying to work out when I can  fit it on my calendar. And so  don't worry if you weren't able  to join us live for that one.  Ah definitely we're going to  you know keep an eye out and  make sure you come live to the  next one. Now not here to talk  about that today but I'm  wondering if you guys have ever  wondered about the effective of  lithiumine or gaba for ADHD. So  if you have drop me a yes in  the comments below. Um because  that's what I'm going to be  talking about today. Now  earlier this week someone asked  me specifically about these and  I know it's something that I've  been asked many times before.  So I really wanted to hop on  here and answer it publicly so  that anyone else who is  wondering can know as well. Now  before we jump in can you share  with me guys like a little bit  about you. I love finding out  where you're located. How many  children you have? Um maybe  your first name. Um obviously  I'll see your first name when  you when you drop that below.  But I'm I'm done okay. I live  in ah I was going to say sunny  Seattle. It is definitely not  sunny today. Um I live in  Seattle Washington. I'm a board  certified holistic health and  nutrition practitioner but also  I'm a mum of a son with ADHD so  I definitely know how hard it  can be to sift through all the  potential supplements and other  treatments options that are out  there. So have you guys ever  felt overwhelmed by the vast  array of ADHD treatment  options? Yep. Definitely I have  for sure back in the day. Um  and if you can relate  definitely give me a little  hands up in the comments below.  Um I felt like that years ago  when I first started my journey  with my son. Now like I said  I'm an ADHD health practitioner  and I specialise working with  families all across USA with  ADHD learn how to naturally  reduce ADHD symptoms. And my  goal is to make it easier on  you guys than it was on me.  Seriously. That's all I want to  do. Um I don't want anyone else  to feel as overwhelmed as I did  years ago. And that's why I'm  hopping on today to answer this  question about lithiumine and  gaba. So let's dive in. Now for  any of you who aren't familiar  with lithiumine it's an amino  acid that is found in green,  black and white tees. Uh plus  can be taken in supplement form  and it has relaxing properties  without making you feel drowsy.  Now it can help make you feel  calmer. It can improve  attention span and focus and it  can support restful sleep. It  can also help protect the heart  and brain. Plus help reduce  blood pressure and reduce  symptoms of schizophrenia. Now  the best way to obtain  lithiumine is to drink several  cups of quality green tea and  other teas every day. Now I  will say that it's really  important that you have  quality. Hi Michaela Montreal  Canada. Hi Heather. Thanks for  tuning in live. Um so when you  are buying green tea make sure  that you do have quality  organic green tea. Now lit  theanine is safe when taken in  supplement form but will reduce  effects of blood pressure  medications and stimulants. So  always be sure to talk with  your doctor before starting any  supplementation. Now GABA is  also a calming neurotransmitter  in the central nervous system  and it plays a role in the  body's ability to handle  stress. And it also affects  focus and concentration. Now  these two supplements by  themselves can be very helpful  for some people because I  especially love it when they're  combined because they they  provide that calming effect  without causing a person to  feel drowsy. And we know a lot  of our kiddos need that calming  effect of the time. Um so my  absolute favourite formation is  called Calming Thrive. And I'm  going to pop a link to that in  the comments. So be on the  lookout for that when the  live's over. Something I use  sometimes I use this particular  supplement as part of my  protocols. Uh especially when I  see when GABA's low or we have  a lot of you know sort of  overactive symptoms and we  really need to calm them down.  Um and I love it for a few  reasons. One it contains both  GABA and lithium Two it comes  in an easy to use liquid which  is perfect for our kiddos who  can't swallow pills. And three  is I also love it because since  it's taken by mouth and held in  the mouth for 30 seconds before  swallowing it has rapid  absorption into the body  providing that calm, that focus  and that concentration really  ",understandable,statement of fact,treatment/cure,can't tell,harmless,not worth checking
Every child with ADHD is different and requires a tailored approach to treatment.,"w or we have  a lot of you know sort of  overactive symptoms and we  really need to calm them down.  Um and I love it for a few  reasons. One it contains both  GABA and lithium Two it comes  in an easy to use liquid which  is perfect for our kiddos who  can't swallow pills. And three  is I also love it because since  it's taken by mouth and held in  the mouth for 30 seconds before  swallowing it has rapid  absorption into the body  providing that calm, that focus  and that concentration really  quickly. Now those of you who  have heard me ah before know  that what I'm getting ready to  say and I said it the other  night in my live masterclass  but for any of you new here I  want to add that you should  always start with food because  you can't supplement your way  out of a poor diet. Uh food is  always our first medicine. Uh  we go there first to try and  improve the state of the gut.  Um and the brain, the gut brain  connection and then once the  dietary changes are made that's  when I might discuss  supplementation. Or I might do  a consultation with each other.  So like at the same time you  know coming thrive can be  really good to help while we're  making those changes. So I'm  going to pop also for anyone  that's new here a link to my  free masterclass where I go  into more detail about those  dietary changes I recommend. So  be sure to check that out if  you're just getting started.  Now back to supplementation. Uh  supplementation should  definitely be tailored to each  individual in order to address  specific healing opportunities  to provide support to each  individual body. Now some  children are helped by  supplements that are targeting  certain you know minerals and  vitamins but other children  actually see no effects  whatsoever. And sometimes even  see negative effects. Many of  the families I work with want a  more targeted approach to  healing their kids' underlying  stresses in their body. They  don't want to just sort of add  random supplements that their  children may or may not need.  What I do say is it ends up in  a lot of expensive poop.  Because if they don't need them  it just goes out the other end  and just comes out in poop. Um  so I do talk a lot about poop.  Uh especially in my closed  group because you know we are  focusing a lot on the gut and  what comes out. Um so my  families you know start by  doing functional lab testing  and then when they get the  results back and see what  specific stresses their child's  body is having. We can target  supplementation to fit them  specifically. Now I don't  want to go into a ton of  details on that right now. But  again I'm going to pop a link  to the lab testing video in the  comment section. So check that  out if you're interested in  learning more. So I've said a  lot today but in summary GABA  and lithiumine especially when  combined in this formula can be  a great support to our kids  with ADHD. But this can never  be the be all and end all  solution. Food is critical.  It's a definite critical piece  of the puzzle and so are other  natural supports which I did  share in my live masterclass.  Uh this Tuesday which I hope to  do another one and I'm so  disappointed that wasn't  recorded. Um but I hope this  answers that question. But I  also understand that there was  a ton of information out there  or there is a ton of  information out there on how to  help a child with ADHD. And I  want to offer anyone listening  you know always a clearer you  know picture of what's going on  in their child. So we  definitely open up our  calendar. Me and my team so  that we can talk with you guys  about what we can do to get  some ideas on how to help  reduce child's ADHD symptoms  naturally because every child  is different. And these calls  are 100% free with no strings  attached. So guys that is it  for today. Um if you've got any  questions whatsoever about  Gaba, lithiumine, let me know  in the comments. Um I'm also  going to drop those links to  the masterclass and I'll drop  the link to our calendar. Um  and ah if you've got any other  questions I'd be happy to help.  So ah something pops up. Drop  them in the comments below. I'm  always happy to help but I hope  you all have a wonderful  weekend. Take care.  ",understandable,statement of fact,treatment/cure,can't tell,harmless,not worth checking
A tiny bit of vinegar on a green leafy salad can help our digestive systems absorb more calcium from the leaves than we would naturally.,okay Down the Hatch oh I hope this [Music] works hey there Health nuts and internet crazers Trace here for D news there are broad claims regarding the efficacy of apple cider vinegar power to curb appetite burn fat cure rashes stop heartburn bring down fever and cure asthma treat wounds reduce effects of aging and even cure diseases like cancer is this a miracal drug no it's not but that doesn't mean it's bunk vinegar is a derivative of alcoholic beverages to make their bottled Delights wine makers ferment grapes with yeast the yeast eat sugar from the grapes and poop out alcohol and CO2 yum to make vinegar is the same but acetab actor bacteria is added to Wine the bacteria eats the alcohol and then poops out acetic acid acetic acid is what makes vinegar vinegar the word vinegar comes from French for sour wine although it can be made from wine beer rice or other fermentables like wood apple cider vinegar is made with you guessed it double fermented apple cider apples to Hard Cider to apple cider vinegar personal note why'd y'all mess up a good thing according to the USDA apple cider vinegar contains none of the vitamins a B6 c e or K and no nasin riboflavin thamin penic acid or folate what it does contain according to the FDA is a minimum of 4% of acetic acid and a lot of water this means vinegar or acetic acid likely won't make you thinner and there is no scientific support of it as a skin toner and when Medscape general medicine conducted a review of all the research on vinegar they found that it was not recommended as an anti-infectious medicine orally or topically more like on your surface and probably doesn't fight hypertension and in terms of its cancer fighting claims while it did shrink leukemia cells and tumors in lab experiments that effect has not been shown in humans at all now a 2015 study in plus one did find small concentrations of acetic acid can help reduce bacterial growth on surfaces and Pub cam lists acetic acid as having mild antibacterial and antifungal properties this is why vinegar can be used as a mild household cleanser but putting vinegar on your face is probably not the best idea pimples are bacterial infections of the cious gland so it might decrease bacterial load there however it's not recommended by any real scientific research though I did find a 1916 book for nurses that recommended vinegar as a treat for acne but it also advised putting Mercury on your face drinking vinegar was studied way more often than using it as an antibacterial Aid acids are known boosters of mineral absorption so a tiny bit of vinegar on a green leafy salad can help our digestive systems absorb more calcium from the leaves than we would naturally and a 2004 study of 11 people with type 2 diabetes found when participants consumed a tiny bit of vinegar they had higher sensitivity to insulin which is a good thing and though this study was too small to generalize to All Humans research is ongoing and it is really positive the thing is don't drink too much vinegar vinegar is an acid and will damage the throat and stomach lining and also erode the teeth there is a reason it is diluted and speaking of diluted if you leave vinegar alone that same bacteria that fermented the alcohol to turn it into vinegar will eventually grow into a massive colony which some call a mother yeah aactor bacteria grows into kombucha eventually so there you go crunchy greeny Birkenstock wearers go be friends but if you're interested in drinking the pre-made apple cider vinegar derivative kombucha maybe you should learn more about what that is first in this video Kombucha tea has been popular with holistic health proponents for decades likely branching from centuries old Asian medicine if you've never seen it before modern Kombucha Tea comes from a strange looking container of brownish liquid with a blob floating in it have you tried apple cider vinegar are you against it are you for it tell us in the comments or come find me over on Twitter I'm @ Trace Dominguez make sure you subscribe see you next time on D [Music] news ,understandable,statement of fact,cause/effect,can't tell,harmless,not worth checking
"Although Dr. Spencer was not showing symptoms until yesterday, doctors say he was not contagious.",Though doctors say he wasn't symptomatic until yesterday.,understandable,personal,prevention,uncontroversial statement,can't tell,not worth checking
Becoming a vegetarian can lead to an unhealthy obsession with food.,"If someone suddenly becomes a vegetarian, they may become obsessed with food.",understandable,hedged claim,cause/effect,disputed claim,harmless,not worth checking
By optimizing the functioning of the basal ganglia things such as fear and anxiety can be decreased while at the same time things such as motivation and energy levels can be increased.,if three activities could help your anxiety improve your mental health and health in general would you be interested I will be discussing three natural remedies in this video the first item I want to discuss is exercise exercise promotes the release of brain chemicals that are very good for you dr. John Ratey describes exercise as a fertilizer to help our cells function optimally including brain cells exercise promotes neurogenesis which helps the brain grow new brain cells it helps you generate endorphins the body's feel-good chemicals which can help you feel a sense of well-being researchers at the Shante University Medicine who completed an experiment with panic attack sufferers concluded the following our results for the first time suggest that exercise has acute anti panic attack activity best of all you can get started today with something as simple as walking another natural remedy is proper eating dr. Daniel Amen explains that by optimizing the functioning of the basal ganglia things such as fear and anxiety can be decreased while at the same time things such as motivation and energy levels can be increased you can optimize by keeping your blood sugar levels consistent throughout the day in three ways by consuming one foods lower in carbohydrates than the typical Western diet two foods lower in glycemic love this term refers to how quickly a typical portion of a particular food raises your blood sugar you can easily find the glycemic rating of different foods by completing an internet search and then building a diet that favors this approach and finally for consuming food more frequently throughout the day but in lesser quantities another important item is proper sleep the division of sleep medicine at Harvard Medical School indicated studies have shown that even partial sleep deprivation has a significant effect on mood lack of sleep can't elevate the body's production of stress hormones which can affect mood and even cause depression however addressing these sleep problems makes a difference and even if you don't have underlying sleep problems taking the following steps can ensure you obtain adequate sleep and lead to improved mood and well-being ensure you don't have too much noise in your room where you sleep if noise is an unavoidable problem consider getting a white noise machine or a small fan that runs in the background ensure that your room is not too hot a cool temperature is best for sleeping if you wake in the night don't turn on the lights rather use a flashlight this is because light affects a brain chemical called melatonin which regulates your sleep-wake cycle would you like more information on the topics covered in this video all you need to do is simply click on the card on the upper right corner of this video and subscribe to our free newsletter thank you for watching as usual we look forward to presenting a new video in our series next week you ,understandable,hedged claim,cause/effect,novel claim,harmless,not worth checking
"Purdue boldly advertised OxyContin as less addictive than other opioids, claiming that less than one percent of patients taking opioids become addicted.",speaking of brazen purdue advertised oxycontin as less addictive than conventional opiates less than one percent of patients taking opioids actually become addicted,understandable,promotion,outcome,disputed claim,can't tell,not worth checking
Some causes of fatigue can only be treated by a doctor.,only your doctor can deal with some causes of fatigue,vague,hedged claim,treatment/cure,uncontroversial statement,low harm,not worth checking
"The Maudsley approach originated at a hospital in London, where it was observed that children with eating disorders responded better to treatment when their parents and families were actively involved.",Maudsley is actually a very old hospital in London where they figured out that kids tended to do better if their parents and their families are really involved in their treatment,understandable,citation,treatment/cure,can't tell,harmless,not worth checking
"Facial puffiness is a common concern for celebrities and idols, especially before appearances.",a biggest alerting situation for celebrities and Idol members are puffy face the next morning when they need to go up on stage or in front of the camera and members of red velvet makes sure to keep up their face at all times,understandable,opinion,not medical,can't tell,low harm,not worth checking
The oncologist told the patient that their cancer was incurable and advised them to prepare for the end.,My oncologist said that your cancer is so bad that I can't cure you and she said I suggest that you get your Affairs in order,understandable,personal,outcome,can't tell,can't tell,not worth checking
"Natalie Costa, an advocate, expresses shock at the high rate of prescription drug overdose deaths in the United States, with one life lost every 19 minutes.",advocate Natalie Costa is shocked we lose one life in this country every 19 minutes to a prescription drug overdose,understandable,statement of fact,statistics,novel claim,harmless,not worth checking
"The doctor's prediction of a ten-point reduction in blood pressure was surpassed by the actual outcome, exceeding expectations.","The doctor said that this procedure would drop your percentage points by ten points, and it actually did better.",vague,statement of fact,outcome,can't tell,can't tell,not worth checking
The two strains responded differently to fluvoxamine.,"So, again, are a little different.",vague,statement of fact,treatment/cure,can't tell,can't tell,not worth checking
"The speaker mentions having an underlying thyroid condition, genetic issues, and hormonal imbalances (including leptin and insulin) that contributed to their weight gain and required specific interventions.",I had a hidden thyroid issue that didn't show up on regular thyroid testing I had genetic issues hormonal issues uh you know leptin and Insulin which are hormones that have a lot to do with where your weight was or out of balance and so I had to find these things out and correct them,understandable,personal,cause/effect,can't tell,can't tell,not worth checking
Patients who prefer not to do intermittent therapy can opt for continuous hormone therapy.,Patients who do not want to do intermittent therapy can choose continuous hormone therapy.,vague,advice/recommendation,treatment/cure,can't tell,can't tell,not worth checking
"When you can fit only three fingers in the gap, it's likely that you're about five centimeters dilated.",When you can fit only three fingers in the gap it's likely that you're about five centimeters dilated.,vague,statement of fact,symptom,can't tell,can't tell,not worth checking
"Hydration is crucial, especially when traveling with POTS, and restaurants provide bathroom access.","How come? Well, one, when you're hydrating you need to go to the bathroom more often and hydrating is incredibly important when you're on a trip, mostly when it's warm and mostly if you have POTS. You really really need to take hydration very seriously.",vague,advice/recommendation,treatment/cure,can't tell,can't tell,not worth checking
A cane with a seat is especially helpful for resting in hot weather.,"So, something like a cane with a seat, this two-in-one combo, might come in particularly handy.",understandable,statement of fact,treatment/cure,novel claim,harmless,not worth checking
Panicking increases heart rate and makes things worse.,"And her heart rate might increase, panicking will only make things worse.",understandable,statement of fact,cause/effect,novel claim,harmless,not worth checking
"Psychologically, the men became preoccupied with food, talking, writing, and even dreaming about it. They reported symptoms of depression, irritability, and a lack of interest in daily activities.",Psychologically the men became preoccupied with food talking writing and even dreaming about it they reported depressive symptoms irritability and a lack of interest in everyday activities.,vague,hedged claim,symptom,novel claim,can't tell,not worth checking
There must be a better way to treat enlarged prostate.,There has got to be a better way.,understandable,opinion,treatment/cure,can't tell,can't tell,not worth checking
Rituximab therapy can sometimes worsen symptoms.,Rituximab therapy may cause symptoms to become more acute.,vague,hedged claim,treatment/cure,can't tell,indirect harm,not worth checking
"However, the evidence from human studies does not support this claim.",But the epidemiology itself is not backing up what they are trying to assert.,vague,citation,statistics,can't tell,can't tell,not worth checking
Natural supports can help children with ADHD.,"w or we have  a lot of you know sort of  overactive symptoms and we  really need to calm them down.  Um and I love it for a few  reasons. One it contains both  GABA and lithium Two it comes  in an easy to use liquid which  is perfect for our kiddos who  can't swallow pills. And three  is I also love it because since  it's taken by mouth and held in  the mouth for 30 seconds before  swallowing it has rapid  absorption into the body  providing that calm, that focus  and that concentration really  quickly. Now those of you who  have heard me ah before know  that what I'm getting ready to  say and I said it the other  night in my live masterclass  but for any of you new here I  want to add that you should  always start with food because  you can't supplement your way  out of a poor diet. Uh food is  always our first medicine. Uh  we go there first to try and  improve the state of the gut.  Um and the brain, the gut brain  connection and then once the  dietary changes are made that's  when I might discuss  supplementation. Or I might do  a consultation with each other.  So like at the same time you  know coming thrive can be  really good to help while we're  making those changes. So I'm  going to pop also for anyone  that's new here a link to my  free masterclass where I go  into more detail about those  dietary changes I recommend. So  be sure to check that out if  you're just getting started.  Now back to supplementation. Uh  supplementation should  definitely be tailored to each  individual in order to address  specific healing opportunities  to provide support to each  individual body. Now some  children are helped by  supplements that are targeting  certain you know minerals and  vitamins but other children  actually see no effects  whatsoever. And sometimes even  see negative effects. Many of  the families I work with want a  more targeted approach to  healing their kids' underlying  stresses in their body. They  don't want to just sort of add  random supplements that their  children may or may not need.  What I do say is it ends up in  a lot of expensive poop.  Because if they don't need them  it just goes out the other end  and just comes out in poop. Um  so I do talk a lot about poop.  Uh especially in my closed  group because you know we are  focusing a lot on the gut and  what comes out. Um so my  families you know start by  doing functional lab testing  and then when they get the  results back and see what  specific stresses their child's  body is having. We can target  supplementation to fit them  specifically. Now I don't  want to go into a ton of  details on that right now. But  again I'm going to pop a link  to the lab testing video in the  comment section. So check that  out if you're interested in  learning more. So I've said a  lot today but in summary GABA  and lithiumine especially when  combined in this formula can be  a great support to our kids  with ADHD. But this can never  be the be all and end all  solution. Food is critical.  It's a definite critical piece  of the puzzle and so are other  natural supports which I did  share in my live masterclass.  Uh this Tuesday which I hope to  do another one and I'm so  disappointed that wasn't  recorded. Um but I hope this  answers that question. But I  also understand that there was  a ton of information out there  or there is a ton of  information out there on how to  help a child with ADHD. And I  want to offer anyone listening  you know always a clearer you  know picture of what's going on  in their child. So we  definitely open up our  calendar. Me and my team so  that we can talk with you guys  about what we can do to get  some ideas on how to help  reduce child's ADHD symptoms  naturally because every child  is different. And these calls  are 100% free with no strings  attached. So guys that is it  for today. Um if you've got any  questions whatsoever about  Gaba, lithiumine, let me know  in the comments. Um I'm also  going to drop those links to  the masterclass and I'll drop  the link to our calendar. Um  and ah if you've got any other  questions I'd be happy to help.  So ah something pops up. Drop  them in the comments below. I'm  always happy to help but I hope  you all have a wonderful  weekend. Take care.  ",vague,hedged claim,treatment/cure,can't tell,indirect harm,not worth checking
Intermittent fasting is a type of short-term stress on the body.,"Intermittent fasting is really a form acute, short-term, mild stress.",understandable,opinion,cause/effect,uncontroversial statement,low harm,not worth checking
You only need to wear a protective gown if there is a chance of getting blood or fluids on your clothes.,Protective gowns are necessary only if there's a chance of soiling your clothes with blood or body fluids.,vague,advice/recommendation,prevention,uncontroversial statement,low harm,not worth checking
Using food as a reward or associating food with emotions is often taught in childhood.,Using food as a reward or associating food with emotions is something taught to a lot of us in childhood,understandable,statement of fact,cause/effect,uncontroversial statement,can't tell,not worth checking
Researchers at the Shante University Medicine who completed an experiment with panic attack sufferers concluded the following our results for the first time suggest that exercise has acute anti panic attack activity.,if three activities could help your anxiety improve your mental health and health in general would you be interested I will be discussing three natural remedies in this video the first item I want to discuss is exercise exercise promotes the release of brain chemicals that are very good for you dr. John Ratey describes exercise as a fertilizer to help our cells function optimally including brain cells exercise promotes neurogenesis which helps the brain grow new brain cells it helps you generate endorphins the body's feel-good chemicals which can help you feel a sense of well-being researchers at the Shante University Medicine who completed an experiment with panic attack sufferers concluded the following our results for the first time suggest that exercise has acute anti panic attack activity best of all you can get started today with something as simple as walking another natural remedy is proper eating dr. Daniel Amen explains that by optimizing the functioning of the basal ganglia things such as fear and anxiety can be decreased while at the same time things such as motivation and energy levels can be increased you can optimize by keeping your blood sugar levels consistent throughout the day in three ways by consuming one foods lower in carbohydrates than the typical Western diet two foods lower in glycemic love this term refers to how quickly a typical portion of a particular food raises your blood sugar you can easily find the glycemic rating of different foods by completing an internet search and then building a diet that favors this approach and finally for consuming food more frequently throughout the day but in lesser quantities another important item is proper sleep the division of sleep medicine at Harvard Medical School indicated studies have shown that even partial sleep deprivation has a significant effect on mood lack of sleep can't elevate the body's production of stress hormones which can affect mood and even cause depression however addressing these sleep problems makes a difference and even if you don't have underlying sleep problems taking the following steps can ensure you obtain adequate sleep and lead to improved mood and well-being ensure you don't have too much noise in your room where you sleep if noise is an unavoidable problem consider getting a white noise machine or a small fan that runs in the background ensure that your room is not too hot a cool temperature is best for sleeping if you wake in the night don't turn on the lights rather use a flashlight this is because light affects a brain chemical called melatonin which regulates your sleep-wake cycle would you like more information on the topics covered in this video all you need to do is simply click on the card on the upper right corner of this video and subscribe to our free newsletter thank you for watching as usual we look forward to presenting a new video in our series next week you ,understandable,citation,cause/effect,novel claim,harmless,not worth checking
Acne scars can be treated by injecting them with a product called Bellafill.,the first thing we do for our acne scar protocol or to correct the scarring from acne is to go underneath the scarring with a needle and a product called bellofill which is methyl methacrylate microspheres,understandable,promotion,treatment/cure,novel claim,low harm,not worth checking
"In the early 20th century, the American Medical Association initiated a smear campaign targeting midwives.","In the early 20th century, the American Medical Association launched a smear campaign against midwives.",understandable,statement of fact,not medical,novel claim,can't tell,not worth checking
"Lifestyle changes, such as a low-sodium diet, regular exercise, and stress management techniques, can effectively lower blood pressure.",we've got so much evidence now that lifestyle actually helps with blood pressure we're talking about dietary changes so diet a low sodium diet is instructive now we're talking about physical exercise there's other things called biofeedback relaxation meditation but again i think dietary is key with low sodium they talk about a dash diet you've heard of the dash diet so things that are rich in nuts whole grains fruits and vegetables okay so vegetarian diet is very good for reducing blood pressure,understandable,hedged claim,cause/effect,uncontroversial statement,low harm,not worth checking
"Improving sleep can reduce ADHD symptoms such as hyperactivity, impulsiveness, and lack of attention.",hi welcome today's a quick video we're going to talk about are there any natural remedies that help alleviate the symptoms of ADHD add this is not a video that is going to sell you some sort of miracle cure or snake oil because that is not what I do I'm Dr Christine I'm a I'm a retired chiropractor and my specialty is Health wellness and mindset and particularly finding ways for people to have more success on the Spectrum and with ADD ADHD anything that I recommend to you is going to have science behind it and I'm not selling it I'm just giving you information now please before I go any further subscribe to the channel and hit the Bell so you'll get notified when new videos Drop and when I go live when you subscribe to a YouTube channel you're supporting my small business which consists of sharing information with you to have more success on the Spectrum I have ADD and I am on the autism spectrum and I like to find information that will help me and help you to live a happier healthier life all right so are there any natural remedies that will help lessen the symptoms of ADD there are a few that have scientific research behind them to back them up also I don't want anything in this video to be mistaken as medical advice I'm not a medical doctor and I'm not making any sort of prescriptions to you I am sharing study information with you in late terms so that you can understand it you can research it yourself you can talk to your own health care practitioner about it so the number one top performing natural remedy to help alleviate the symptoms of ADD is exercise researchers in 2013 studied a group of adolescents some were prescribed an exercise regiment others others did not they were on what they call the wait list for the exercise program and at the end of the study the group that participated in the exercise program showed a significant reduction in their ADHD symptoms for example less impulsivity less hyperactivity better focus and improve performance in school the second omega-3 fatty acids omega-3 fatty acids such as fish or krill oil and flaxseed oil has been studied by researchers because because they know the positive impact that these fatty acids have on on the brain and nervous system omega-3 fatty acids are essential nutrients that play a great role in the building developing and repair of the nervous system they have strong anti-inflammatory properties and tend to protect the cells of the nervous system in studies where they looked at the role of omega-3 fatty acids with ADHD they showed Improvement they found less hyperactivity and impulsivity in Focus and finally mindfulness in other words mindful meditation in 2012 there was an eight-week study where people were broken up into two groups again the ones that practiced mindful meditation and the ones that did not and after the eight weeks the groups that participated in the mindful meditation showed significant improvements executive functioning attention and behavior regulation really cool things wouldn't you agree all these things could improve the quality of your life or the quality of your child's life and finally sleep now people with ADD ADHD are somewhat prone to having sleep disturbances but I don't want to label anybody out there it does not have to be that way and at the same time Disturbed sleep tends to aggravate the symptoms of ADD ADHD not enough sleep or inadequate sleep increases the symptoms that we are trying to decrease so lack of sleep or poor sleep increases hyperactivity impulsiveness and lack of attention now improving one's sleep takes more than one short video but important very important if you're on the Spectrum or have ADD ADHD to treat your sleep as if it will make or break you because they can alright my friends those are some scientifically proven natural things that you can do to reduce the symptoms that you have from your EDD ADHD it's all science back I've left links in the video description if you want to read more about that and it's good healthy living anyway right so you will never be unhealthier for doing these simple things and and doing them daily making them habits all right my friends I'll see you next week thanks for being here before you go please hit that subscribe button we'll see you soon ,understandable,hedged claim,treatment/cure,uncontroversial statement,indirect harm,not worth checking
The fiber in beets feeds the beneficial bacteria in your gut.,the fiber in beets travels to the colon where it feeds the friendly gut bacteria,vague,statement of fact,treatment/cure,can't tell,indirect harm,not worth checking
HPV can cause some serious health problems which could include genital warts or a variety of different Cancers,human papilloma virus or commonly abbreviated HPV is a family of different viruses that has more than 200 different strains however the strains that are most common for causing some serious infections really is just about two now this HPV is the most common STI in the United States and it is transmitted through sexual contact or very close skin to skin contact now HPV can cause some serious health problems which could include genital warts or a variety of different Cancers and the way that it works when causing cancer is that HPV can actually enter our human cells and then it can cause some disruption in the communication between the cell and its neighbors so typically cells will communicate with each other through different signaling Pathways but when those different signaling Pathways get disrupted messages can get confused and that can cause the cell that has now been infected with HPV to start growing uncontrollably which can be known as a tumor or a Cancer and we'll talk more soon about how we can prevent these different types of HPV infections through vaccination ,understandable,hedged claim,cause/effect,uncontroversial statement,low harm,not worth checking
"Studies show that individuals recovering from anorexia exhibit different brain activity patterns in the insula, a region associated with taste perception. This suggests that they may experience taste differently and have reduced motivation to eat, potentially contributing to their eating disorder.",there's also evidence that other brain regions show different patterns of activity in patients recovering from anorexia in a region called the insula the insula is a part of the cortex that helps the brain identify what it's tasting along with other brain regions like the amydala and the orbital frontal cortex the insula helps us identify what tastes we like and don't like more activity is seen in these when we're hungry and less when we're full these brain areas along with vental striatum help determine how motivated we are by food when individuals with normal eating patterns are given a sweet tasting stimulus during brain Imaging there's a lot of activity seen in the insula the more they report liking sugar the more activity in the insula on the other hand patients who are recovering from anorexia show lower levels of activity in the insula which might indicate that they find the sugary taste less pleasurable than their control counterparts these individuals appear to actually experience taste differently even after recovery scientists interpret this as indicating that people who suffer from anorexia are less driven by hunger and appetite signals than usual and with less motivation to eat it may be easier for these individuals to drive themselves to the edge of starvation,understandable,hedged claim,correlation,can't tell,low harm,may be worth checking
"Ayahuasca may worsen mental health conditions in individuals with pre-existing conditions such as personality disorders, addiction, anxiety, or stress.","Ayahuasca can worsen mental health conditions in people with personality disorders, addiction, pressure, or anxiety.",understandable,hedged claim,correlation,can't tell,low harm,may be worth checking
BMI makes doctors and other authority figures think they know about people's health when they don't.,BMI tricks doctors and other authority figures into thinking they have information about people that they actually don't,vague,opinion,cause/effect,disputed claim,indirect harm,not worth checking
Transcranial magnetic stimulation is a non-invasive treatment with few side effects.,Transcranial magnetic stimulation is a non-invasive treatment with few side effects.,vague,statement of fact,treatment/cure,can't tell,low harm,not worth checking
Dietary choices can influence memory function.,Diet can impact memory.,understandable,hedged claim,correlation,can't tell,low harm,may be worth checking
"The highest risk of ischemia (reduced blood flow) occurs in the early luteal phase, just after the menstrual period.",In the early luteal phase just after the menstrual period is the time when the maximum incidence of ischemia can occur.,understandable,statement of fact,cause/effect,can't tell,can't tell,not worth checking
Controlling the hormone insulin is crucial for successful weight loss and maintenance.,The key to losing weight and keeping it off is all in the hormone insulin.,understandable,statement of fact,treatment/cure,can't tell,can't tell,not worth checking
